"Env_step","MAP_NAME: smacv2_20_units - eval_m/.win_rate","MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX","MAP_NAME: smacv2_10_units - eval_m/.win_rate","MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX","MAP_NAME: smacv2_5_units - eval_m/.win_rate","MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX","MAP_NAME: 27m_vs_30m - eval_m/.win_rate","MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN","MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX","MAP_NAME: 10m_vs_11m - eval_m/.win_rate","MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN","MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX","MAP_NAME: 6h_vs_8z - eval_m/.win_rate","MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN","MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX","MAP_NAME: 5m_vs_6m - eval_m/.win_rate","MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN","MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX","MAP_NAME: 3s5z - eval_m/.win_rate","MAP_NAME: 3s5z - eval_m/.win_rate__MIN","MAP_NAME: 3s5z - eval_m/.win_rate__MAX","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX","MAP_NAME: 3s_vs_5z - eval_m/.win_rate","MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN","MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX","MAP_NAME: 2s3z - eval_m/.win_rate","MAP_NAME: 2s3z - eval_m/.win_rate__MIN","MAP_NAME: 2s3z - eval_m/.win_rate__MAX"
"49152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147456","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196608","0","0","0","0","0","0","1.875","0","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245760","0","0","0","0.625","0","3.125","1.875","0","9.375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"294912","2.5","0","9.375","2.5","0","6.25","6.25","3.125","9.375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"344064","2.5","0","9.375","3.75","0","12.5","3.75","0","9.375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"393216","3.125","0","6.25","3.75","0","6.25","10","6.25","15.625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"442368","0","0","0","5.625","0","15.625","5","3.125","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"491520","4.375","0","6.25","10","0","15.625","8.125","3.125","15.625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"540672","3.125","0","6.25","9.375","6.25","12.5","8.125","3.125","9.375","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"589824","1.25","0","3.125","9.375","0","15.625","3.75","0","9.375","0","0","0","2.5","0","6.25","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","0","0","0"
"638976","2.5","0","6.25","6.25","0","12.5","6.25","0","12.5","0","0","0","2.5","0","6.25","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","1.25","0","3.125"
"688128","3.125","0","9.375","8.125","6.25","9.375","9.375","3.125","15.625","0","0","0","2.5","0","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.25","0","3.125"
"737280","3.75","0","6.25","8.75","0","15.625","11.25","3.125","21.875","1.0416666666666667","0","3.125","3.75","3.125","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.625","0","3.125"
"786432","2.5","0","6.25","7.5","0","18.75","8.125","0","18.75","0","0","0","1.25","0","3.125","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","3.75","0","6.25"
"835584","2.5","0","6.25","5.625","3.125","6.25","8.125","3.125","12.5","0","0","0","4.375","0","6.25","1.25","0","6.25","0.625","0","3.125","0","0","0","0","0","0","0","0","0","2.5","0","6.25"
"884736","2.5","0","6.25","7.5","0","15.625","10","3.125","18.75","0","0","0","8.75","3.125","12.5","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","5","3.125","6.25"
"933888","1.875","0","6.25","6.25","3.125","18.75","11.875","3.125","25","3.125","0","6.25","6.25","0","9.375","1.25","0","3.125","0.625","0","3.125","0","0","0","0","0","0","0","0","0","3.125","0","6.25"
"983040","3.125","0","6.25","3.75","0","9.375","6.25","0","12.5","6.25","3.125","12.5","10.625","3.125","15.625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.75","0","6.25"
"1032192","4.375","3.125","6.25","11.25","3.125","18.75","8.125","3.125","15.625","8.333333333333334","3.125","15.625","5","0","9.375","2.5","0","6.25","1.25","0","6.25","0.625","0","3.125","0","0","0","0","0","0","8.75","3.125","15.625"
"1081344","5","0","9.375","7.5","3.125","12.5","15","12.5","18.75","8.333333333333334","0","25","10.625","6.25","15.625","0.625","0","3.125","0","0","0","1.25","0","6.25","0","0","0","0","0","0","8.125","3.125","15.625"
"1130496","2.5","0","6.25","5","0","9.375","8.125","3.125","15.625","12.5","9.375","18.75","8.125","3.125","18.75","0","0","0","1.25","0","3.125","0.625","0","3.125","0","0","0","0","0","0","11.25","3.125","18.75"
"1179648","3.75","3.125","6.25","7.5","3.125","15.625","8.125","3.125","15.625","10.416666666666666","3.125","21.875","15.625","0","34.375","1.25","0","6.25","0","0","0","0.625","0","3.125","0","0","0","0","0","0","17.5","12.5","28.125"
"1228800","2.5","0","9.375","5.625","3.125","12.5","11.875","6.25","25","14.583333333333334","6.25","31.25","16.875","9.375","21.875","2.5","0","9.375","0.625","0","3.125","1.875","0","6.25","0","0","0","0","0","0","15","6.25","25"
"1277952","4.375","3.125","6.25","7.5","3.125","12.5","10","3.125","15.625","15.625","9.375","25","18.125","3.125","31.25","1.875","0","6.25","0.625","0","3.125","0.625","0","3.125","0","0","0","0","0","0","19.375","9.375","28.125"
"1327104","1.875","0","6.25","7.5","0","15.625","8.125","3.125","12.5","11.458333333333334","6.25","21.875","13.75","6.25","21.875","3.125","0","9.375","0","0","0","1.25","0","6.25","0","0","0","0","0","0","15.625","9.375","18.75"
"1376256","4.375","0","9.375","6.25","3.125","9.375","6.25","3.125","9.375","10.416666666666666","6.25","12.5","14.375","9.375","21.875","3.125","0","6.25","0","0","0","1.875","0","3.125","0","0","0","0","0","0","25","18.75","28.125"
"1425408","3.75","0","6.25","5.625","3.125","9.375","10.625","6.25","15.625","13.541666666666666","0","28.125","17.5","3.125","25","5.625","0","18.75","0","0","0","3.125","0","9.375","0","0","0","0","0","0","24.375","15.625","40.625"
"1474560","0.625","0","3.125","8.75","3.125","15.625","12.5","3.125","18.75","18.75","6.25","25","20","9.375","31.25","5","3.125","9.375","0","0","0","4.375","0","12.5","0","0","0","0","0","0","27.5","21.875","37.5"
"1523712","5.625","0","9.375","11.875","9.375","12.5","16.25","12.5","21.875","26.041666666666668","12.5","43.75","18.125","9.375","31.25","8.125","0","25","0","0","0","4.375","0","6.25","0","0","0","0","0","0","33.75","25","46.875"
"1572864","4.375","0","9.375","6.875","6.25","9.375","13.125","9.375","21.875","12.5","6.25","18.75","20","3.125","28.125","4.375","0","6.25","0","0","0","6.25","0","9.375","0","0","0","0","0","0","38.125","25","46.875"
"1622016","1.25","0","6.25","6.25","0","15.625","11.875","6.25","18.75","21.875","15.625","34.375","17.5","6.25","31.25","5.625","0","25","0.625","0","3.125","5","3.125","9.375","0","0","0","0","0","0","41.875","28.125","53.125"
"1671168","1.875","0","6.25","6.25","3.125","12.5","20.625","9.375","31.25","28.125","25","31.25","18.75","9.375","28.125","7.5","0","25","0.625","0","3.125","3.75","0","9.375","0","0","0","0","0","0","39.375","18.75","56.25"
"1720320","5.625","0","12.5","8.75","3.125","12.5","21.875","12.5","34.375","19.791666666666668","15.625","25","16.875","9.375","28.125","8.125","0","21.875","0","0","0","5","0","6.25","0","0","0","0","0","0","53.125","37.5","71.875"
"1769472","3.75","0","6.25","6.25","0","9.375","19.375","12.5","31.25","25","9.375","40.625","18.125","9.375","25","11.875","0","50","1.25","0","6.25","2.5","0","9.375","0","0","0","0","0","0","45.625","37.5","59.375"
"1818624","1.875","0","3.125","8.75","3.125","12.5","20.625","9.375","34.375","23.958333333333332","12.5","46.875","15.625","3.125","28.125","18.125","0","71.875","0.625","0","3.125","6.25","3.125","12.5","0","0","0","0","0","0","47.5","34.375","53.125"
"1867776","0.625","0","3.125","3.75","0","6.25","18.75","12.5","28.125","34.375","25","50","26.25","18.75","34.375","23.125","3.125","87.5","0.625","0","3.125","8.125","0","18.75","0","0","0","0","0","0","61.25","53.125","68.75"
"1916928","6.25","0","12.5","6.25","0","21.875","28.125","21.875","34.375","45.833333333333336","28.125","59.375","18.125","9.375","25","19.375","0","78.125","0.625","0","3.125","17.5","0","31.25","0","0","0","0","0","0","62.5","50","68.75"
"1966080","3.75","0","6.25","7.5","3.125","15.625","25","15.625","31.25","37.5","21.875","53.125","26.875","15.625","46.875","23.75","0","84.375","0.625","0","3.125","7.5","0","18.75","0","0","0","0","0","0","53.75","50","68.75"
"2015232","3.125","0","12.5","8.125","3.125","18.75","26.25","15.625","34.375","44.791666666666664","28.125","62.5","20.625","12.5","28.125","25.625","0","93.75","1.875","0","6.25","13.125","3.125","28.125","0","0","0","0","0","0","69.375","62.5","81.25"
"2064384","0.625","0","3.125","2.5","0","3.125","21.875","15.625","31.25","54.166666666666664","15.625","84.375","24.375","21.875","31.25","28.75","0","90.625","1.25","0","3.125","15","3.125","31.25","0","0","0","0","0","0","68.125","62.5","71.875"
"2113536","2.5","0","6.25","8.75","3.125","15.625","25","15.625","31.25","44.791666666666664","25","62.5","24.375","12.5","37.5","23.75","3.125","90.625","0","0","0","13.125","3.125","34.375","0","0","0","0","0","0","68.125","62.5","78.125"
"2162688","6.25","0","12.5","11.25","6.25","15.625","31.25","15.625","40.625","58.333333333333336","25","81.25","29.375","15.625","46.875","30","0","87.5","1.875","0","6.25","13.125","0","31.25","0","0","0","0","0","0","66.25","59.375","78.125"
"2211840","2.5","0","6.25","8.125","3.125","18.75","28.125","25","31.25","53.125","28.125","84.375","20.625","9.375","34.375","33.125","6.25","100","1.25","0","6.25","20.625","3.125","46.875","0","0","0","0","0","0","67.5","59.375","75"
"2260992","2.5","0","6.25","7.5","3.125","15.625","31.25","25","40.625","59.375","25","90.625","29.375","9.375","53.125","34.375","0","96.875","2.5","0","9.375","20","9.375","34.375","0","0","0","0","0","0","73.125","62.5","81.25"
"2310144","3.125","0","9.375","11.25","6.25","15.625","35.625","25","43.75","51.041666666666664","34.375","71.875","25.625","12.5","34.375","33.75","0","84.375","0","0","0","21.25","3.125","46.875","0","0","0","0","0","0","68.75","62.5","75"
"2359296","3.75","0","9.375","5.625","0","15.625","41.25","31.25","59.375","61.458333333333336","34.375","84.375","28.75","25","34.375","35.625","3.125","87.5","1.25","0","3.125","23.75","9.375","37.5","0","0","0","0","0","0","70","59.375","75"
"2408448","2.5","0","6.25","8.75","0","18.75","38.75","25","53.125","60.416666666666664","28.125","87.5","28.75","12.5","46.875","38.125","3.125","87.5","1.875","0","3.125","18.125","6.25","37.5","0","0","0","0","0","0","74.375","59.375","81.25"
"2457600","3.75","0","6.25","5.625","0","12.5","31.875","25","40.625","42.708333333333336","34.375","56.25","28.75","18.75","43.75","35.625","6.25","90.625","0.625","0","3.125","20","9.375","46.875","0","0","0","0","0","0","75.625","71.875","78.125"
"2506752","5","0","12.5","5.625","3.125","9.375","37.5","25","53.125","56.25","34.375","68.75","23.75","18.75","31.25","37.5","3.125","93.75","1.25","0","3.125","30","15.625","46.875","0","0","0","0","0","0","71.875","65.625","84.375"
"2555904","3.75","0","6.25","7.5","3.125","9.375","31.25","18.75","37.5","41.666666666666664","15.625","68.75","25.625","21.875","34.375","38.75","6.25","90.625","0","0","0","22.5","0","40.625","0","0","0","0","0","0","75.625","71.875","81.25"
"2605056","6.25","3.125","12.5","11.25","6.25","15.625","38.75","28.125","50","51.041666666666664","31.25","78.125","25.625","12.5","34.375","39.375","6.25","81.25","0.625","0","3.125","24.375","9.375","43.75","0","0","0","0","0","0","80.625","65.625","93.75"
"2654208","3.125","0","6.25","13.125","3.125","31.25","38.125","28.125","46.875","52.083333333333336","37.5","75","25","12.5","46.875","48.125","9.375","93.75","1.25","0","6.25","30","9.375","62.5","0","0","0","0","0","0","80","68.75","87.5"
"2703360","8.125","3.125","18.75","9.375","3.125","15.625","38.125","31.25","46.875","58.333333333333336","25","87.5","23.75","12.5","34.375","48.125","12.5","96.875","1.25","0","6.25","28.75","9.375","46.875","0","0","0","0","0","0","81.25","71.875","93.75"
"2752512","3.125","0","6.25","12.5","6.25","18.75","41.25","25","53.125","70.83333333333333","53.125","87.5","19.375","12.5","31.25","51.25","3.125","100","3.125","0","6.25","34.375","15.625","59.375","0","0","0","0","0","0","81.25","75","90.625"
"2801664","3.75","0","6.25","10.625","6.25","15.625","34.375","31.25","40.625","67.70833333333333","21.875","93.75","26.25","15.625","34.375","53.75","9.375","96.875","0.625","0","3.125","31.875","18.75","43.75","0","0","0","0","0","0","73.75","62.5","78.125"
"2850816","6.25","0","12.5","10.625","6.25","18.75","40","34.375","46.875","73.95833333333333","43.75","90.625","26.875","15.625","43.75","52.5","18.75","90.625","1.25","0","3.125","30","15.625","53.125","0","0","0","0","0","0","81.875","75","96.875"
"2899968","3.125","0","9.375","7.5","3.125","12.5","31.875","28.125","34.375","72.91666666666667","34.375","93.75","27.5","18.75","43.75","60","25","93.75","1.875","0","3.125","31.25","15.625","53.125","0","0","0","0","0","0","81.25","71.875","93.75"
"2949120","5.625","3.125","9.375","12.5","3.125","21.875","46.25","37.5","59.375","76.04166666666667","46.875","100","33.75","18.75","50","58.125","15.625","93.75","1.25","0","6.25","35","9.375","59.375","0","0","0","0","0","0","83.75","65.625","96.875"
"2998272","1.25","0","3.125","6.875","0","12.5","32.5","21.875","40.625","72.91666666666667","31.25","96.875","30","12.5","46.875","65.625","28.125","96.875","1.875","0","3.125","36.25","12.5","50","0","0","0","0","0","0","86.875","68.75","93.75"
"3047424","3.75","3.125","6.25","13.125","9.375","21.875","43.75","31.25","59.375","69.79166666666667","28.125","90.625","31.875","15.625","53.125","63.75","15.625","96.875","0.625","0","3.125","39.375","6.25","62.5","0","0","0","0","0","0","78.75","65.625","96.875"
"3096576","5","0","12.5","9.375","6.25","15.625","35.625","28.125","46.875","73.95833333333333","37.5","93.75","25.625","12.5","31.25","61.875","28.125","90.625","0.625","0","3.125","35","15.625","59.375","0","0","0","0.625","0","3.125","83.125","62.5","96.875"
"3145728","4.375","0","9.375","12.5","3.125","18.75","38.75","28.125","46.875","72.91666666666667","43.75","87.5","23.75","15.625","31.25","67.5","28.125","100","1.25","0","6.25","33.125","12.5","62.5","0","0","0","0","0","0","85","71.875","96.875"
"3194880","2.5","0","6.25","11.875","0","21.875","43.125","34.375","53.125","77.08333333333333","46.875","93.75","31.25","12.5","40.625","66.875","18.75","93.75","0.625","0","3.125","53.125","28.125","75","0","0","0","0","0","0","83.125","75","93.75"
"3244032","4.375","0","9.375","8.125","3.125","15.625","35","21.875","46.875","75","56.25","87.5","32.5","21.875","37.5","70.625","43.75","90.625","1.25","0","6.25","44.375","28.125","59.375","0","0","0","0","0","0","83.75","68.75","93.75"
"3293184","3.125","0","6.25","14.375","9.375","21.875","39.375","37.5","43.75","79.16666666666667","37.5","100","27.5","18.75","34.375","70","34.375","96.875","2.5","0","3.125","38.75","9.375","62.5","0","0","0","0","0","0","86.25","78.125","96.875"
"3342336","5","0","9.375","13.75","6.25","21.875","43.125","25","56.25","75","50","87.5","25.625","12.5","34.375","71.875","34.375","100","0.625","0","3.125","46.25","21.875","62.5","0","0","0","0","0","0","86.875","75","96.875"
"3391488","4.375","0","9.375","10","6.25","12.5","40.625","28.125","50","79.16666666666667","43.75","100","31.25","21.875","40.625","72.5","40.625","96.875","0.625","0","3.125","45","18.75","71.875","0","0","0","0","0","0","83.75","71.875","93.75"
"3440640","4.375","3.125","9.375","11.25","3.125","15.625","35.625","21.875","50","71.875","37.5","93.75","28.125","18.75","40.625","73.75","50","93.75","1.25","0","3.125","48.125","34.375","65.625","0","0","0","0","0","0","78.75","68.75","90.625"
"3489792","7.5","3.125","12.5","11.875","3.125","25","41.25","31.25","59.375","83.33333333333333","68.75","93.75","31.875","21.875","43.75","78.75","59.375","100","0.625","0","3.125","40","28.125","62.5","0","0","0","0","0","0","84.375","68.75","96.875"
"3538944","1.875","0","6.25","10.625","6.25","15.625","35.625","28.125","43.75","79.16666666666667","46.875","96.875","34.375","25","40.625","79.375","62.5","93.75","1.25","0","3.125","38.75","15.625","71.875","0","0","0","0","0","0","84.375","75","90.625"
"3588096","3.75","0","12.5","13.75","3.125","21.875","41.25","25","59.375","80.20833333333333","43.75","100","25.625","15.625","31.25","81.875","62.5","93.75","1.875","0","6.25","41.875","18.75","62.5","0.625","0","3.125","0","0","0","81.875","71.875","90.625"
"3637248","3.75","0","9.375","10.625","0","25","38.75","28.125","59.375","83.33333333333333","62.5","96.875","38.75","21.875","53.125","78.125","43.75","96.875","2.5","0","3.125","51.25","18.75","78.125","0","0","0","0.625","0","3.125","90.625","84.375","100"
"3686400","4.375","0","9.375","11.875","9.375","15.625","35","21.875","50","82.29166666666667","50","100","28.75","18.75","37.5","81.25","75","87.5","0","0","0","42.5","18.75","71.875","0","0","0","0","0","0","82.5","75","90.625"
"3735552","3.75","0","6.25","16.25","3.125","28.125","38.75","34.375","46.875","75","46.875","93.75","37.5","31.25","46.875","79.375","59.375","93.75","0.625","0","3.125","44.375","18.75","65.625","0","0","0","0","0","0","86.25","78.125","96.875"
"3784704","5","0","12.5","13.75","6.25","18.75","45","34.375","53.125","82.29166666666667","59.375","96.875","33.75","25","43.75","88.125","81.25","93.75","0.625","0","3.125","51.25","25","81.25","0","0","0","0.625","0","3.125","91.875","87.5","96.875"
"3833856","5","0","9.375","11.875","0","18.75","41.25","28.125","50","84.375","56.25","100","26.875","18.75","37.5","83.75","65.625","100","0","0","0","47.5","31.25","56.25","0","0","0","0.625","0","3.125","93.125","90.625","100"
"3883008","3.125","0","6.25","15","3.125","25","38.75","31.25","53.125","84.375","53.125","100","30.625","18.75","40.625","92.5","87.5","96.875","0","0","0","56.875","31.25","68.75","0","0","0","1.25","0","6.25","85.625","75","93.75"
"3932160","5","0","12.5","18.75","0","40.625","42.5","34.375","50","78.125","46.875","100","34.375","18.75","40.625","90.625","81.25","96.875","0","0","0","57.5","40.625","78.125","0","0","0","1.875","0","9.375","86.875","75","100"
"3981312","3.125","0","9.375","19.375","9.375","28.125","36.25","21.875","53.125","80.20833333333333","46.875","100","36.25","12.5","56.25","89.375","84.375","100","2.5","0","6.25","46.25","31.25","65.625","0","0","0","1.25","0","6.25","86.875","78.125","93.75"
"4030464","3.75","0","9.375","20","9.375","31.25","41.875","28.125","53.125","77.08333333333333","40.625","100","36.875","28.125","43.75","88.75","84.375","90.625","0.625","0","3.125","51.875","31.25","75","0","0","0","0.625","0","3.125","87.5","75","93.75"
"4079616","3.125","0","6.25","17.5","9.375","25","38.75","31.25","43.75","82.29166666666667","59.375","93.75","36.875","25","46.875","88.125","81.25","93.75","0.625","0","3.125","56.875","46.875","71.875","0.625","0","3.125","1.875","0","9.375","88.125","78.125","93.75"
"4128768","2.5","0","3.125","21.25","12.5","31.25","48.125","34.375","53.125","79.16666666666667","43.75","96.875","33.125","15.625","43.75","81.25","56.25","93.75","0.625","0","3.125","66.25","50","81.25","0","0","0","0.625","0","3.125","90.625","87.5","96.875"
"4177920","3.75","0","12.5","20.625","18.75","25","41.25","25","50","79.16666666666667","56.25","90.625","34.375","28.125","46.875","84.375","68.75","93.75","1.875","0","3.125","60.625","43.75","78.125","0","0","0","1.875","0","9.375","92.5","90.625","100"
"4227072","2.5","0","3.125","18.125","9.375","28.125","40.625","37.5","43.75","82.29166666666667","62.5","93.75","31.25","12.5","43.75","81.25","62.5","93.75","0.625","0","3.125","53.125","34.375","81.25","0","0","0","3.125","0","15.625","90.625","87.5","93.75"
"4276224","3.75","0","9.375","21.875","12.5","34.375","45","28.125","56.25","79.16666666666667","46.875","96.875","37.5","28.125","50","86.875","84.375","93.75","2.5","0","9.375","58.75","50","68.75","0","0","0","0.625","0","3.125","91.25","90.625","93.75"
"4325376","6.875","3.125","12.5","21.25","3.125","43.75","50.625","37.5","56.25","86.45833333333333","68.75","96.875","35.625","18.75","43.75","87.5","78.125","100","1.25","0","6.25","60.625","31.25","84.375","0","0","0","3.125","0","15.625","90.625","87.5","100"
"4374528","2.5","0","3.125","20","0","34.375","43.75","28.125","53.125","83.33333333333333","56.25","100","26.25","15.625","37.5","85.625","71.875","100","1.875","0","3.125","64.375","46.875","75","0","0","0","4.375","0","21.875","89.375","84.375","93.75"
"4423680","5","3.125","9.375","20.625","6.25","28.125","37.5","34.375","40.625","84.375","56.25","100","33.125","9.375","43.75","88.125","71.875","100","0.625","0","3.125","64.375","46.875","78.125","0","0","0","5","0","25","93.75","87.5","96.875"
"4472832","4.375","0","9.375","21.875","9.375","31.25","47.5","34.375","65.625","85.41666666666667","68.75","100","35","21.875","43.75","87.5","75","100","2.5","0","9.375","66.25","50","78.125","0.625","0","3.125","4.375","0","18.75","92.5","87.5","100"
"4521984","2.5","0","6.25","18.75","6.25","37.5","44.375","34.375","56.25","79.16666666666667","50","100","37.5","31.25","50","89.375","65.625","100","0.625","0","3.125","58.75","46.875","71.875","0","0","0","3.75","0","18.75","89.375","78.125","96.875"
"4571136","3.125","0","6.25","16.25","6.25","31.25","45","34.375","53.125","77.08333333333333","43.75","100","34.375","18.75","46.875","86.875","68.75","96.875","0.625","0","3.125","61.25","50","68.75","0","0","0","3.125","0","15.625","90.625","84.375","100"
"4620288","3.75","0","12.5","27.5","9.375","50","49.375","40.625","56.25","79.16666666666667","53.125","93.75","31.875","18.75","40.625","87.5","50","100","2.5","0","12.5","60","37.5","71.875","0","0","0","3.75","0","18.75","93.125","81.25","100"
"4669440","0.625","0","3.125","17.5","3.125","28.125","45","40.625","53.125","77.08333333333333","40.625","96.875","32.5","21.875","46.875","84.375","46.875","96.875","1.25","0","3.125","66.25","50","87.5","0","0","0","5","0","25","86.875","75","96.875"
"4718592","4.375","0","9.375","20.625","3.125","31.25","46.25","34.375","53.125","76.04166666666667","50","90.625","31.25","21.875","40.625","83.125","43.75","96.875","0.625","0","3.125","62.5","50","78.125","0","0","0","6.25","0","31.25","89.375","81.25","100"
"4767744","3.125","0","6.25","18.125","3.125","31.25","45","37.5","53.125","83.33333333333333","62.5","96.875","30.625","9.375","50","88.125","56.25","100","1.875","0","6.25","57.5","50","71.875","0","0","0","5","0","25","93.125","87.5","100"
"4816896","3.75","0","9.375","21.875","9.375","31.25","45.625","28.125","56.25","78.125","50","93.75","30.625","9.375","46.875","80","28.125","96.875","0.625","0","3.125","67.5","59.375","78.125","0","0","0","4.375","0","21.875","91.25","84.375","100"
"4866048","3.125","0","6.25","18.125","3.125","31.25","41.875","31.25","56.25","85.41666666666667","56.25","100","43.75","28.125","62.5","83.125","46.875","96.875","0.625","0","3.125","71.25","59.375","87.5","0.625","0","3.125","5.625","0","25","91.875","84.375","96.875"
"4915200","8.125","0","12.5","25.625","12.5","37.5","50.625","43.75","56.25","83.33333333333333","59.375","100","35","21.875","46.875","83.75","40.625","100","1.875","0","3.125","65","46.875","87.5","0","0","0","5.625","0","25","90.625","78.125","96.875"
"4964352","3.125","0","9.375","22.5","6.25","40.625","46.25","37.5","53.125","83.33333333333333","59.375","96.875","41.25","15.625","50","81.875","40.625","96.875","0.625","0","3.125","62.5","53.125","84.375","0","0","0","6.25","0","28.125","93.125","84.375","100"
"5013504","5","0","15.625","25","18.75","40.625","42.5","37.5","53.125","77.08333333333333","40.625","100","31.25","18.75","46.875","88.125","62.5","96.875","1.25","0","3.125","68.75","53.125","81.25","0","0","0","6.875","0","34.375","95","90.625","100"
